"","X","dvcat","weight","dead","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","caseid"
"1",1,"25-39",25.0689999999013,"alive","none","belted",1,"f",26,1997,1990,"unavail","driver",0,3,"2:3:1"
"3",3,"10-24",32.3789999997243,"alive","none","none",1,"f",69,1997,1988,"unavail","driver",0,4,"2:5:1"
"6",6,"40-54",25.0689999999013,"alive","none","belted",1,"f",22,1997,1985,"unavail","driver",0,3,"2:11:2"
"7",7,"55+",27.0779999999795,"alive","none","belted",1,"m",22,1997,1984,"unavail","driver",0,3,"2:13:1"
"9",9,"10-24",812.868999995291,"alive","none","belted",0,"m",40,1997,1984,"unavail","driver",0,1,"2:14:1"
"10",10,"10-24",812.868999995291,"alive","none","belted",1,"f",18,1997,1987,"unavail","driver",0,0,"2:14:2"
"12",12,"10-24",299.458999998868,"alive","none","belted",0,"f",69,1997,1982,"unavail","driver",0,1,"2:15:1"
"15",15,"25-39",29.0809999997728,"alive","none","belted",0,"f",37,1997,1991,"unavail","driver",0,1,"2:18:1"
"17",17,"25-39",29.0809999997728,"alive","none","belted",1,"f",63,1997,1990,"unavail","pass",0,3,"2:18:2"
"19",19,"10-24",1156.43899999559,"alive","airbag","belted",0,"m",33,1997,1995,"nodeploy","driver",0,0,"2:20:1"
"22",22,"10-24",86.1999999992549,"alive","none","belted",0,"f",22,1997,1987,"unavail","driver",0,0,"2:23:2"
"23",23,"10-24",397.170999996364,"alive","none","none",0,"m",45,1997,1989,"unavail","driver",0,0,"2:24:1"
"25",25,"10-24",37.0989999999292,"alive","airbag","belted",1,"f",23,1997,1995,"deploy","driver",1,1,"2:25:2"
"26",26,"10-24",79.2049999991432,"alive","none","none",1,"f",19,1997,1989,"unavail","driver",0,1,"2:26:1"
"28",28,"10-24",244.389999998733,"alive","none","belted",1,"f",41,1997,1990,"unavail","driver",0,0,"2:28:2"
"31",31,"10-24",241.560999998823,"alive","airbag","belted",1,"f",26,1997,1992,"deploy","driver",1,1,"2:34:1"
"33",33,"1-9km/h",745.350999996066,"alive","none","belted",1,"m",17,1997,1988,"unavail","pass",0,0,"2:35:1"
"35",35,"10-24",745.350999996066,"alive","airbag","belted",0,"f",17,1997,1990,"nodeploy","pass",0,0,"2:35:2"
"38",38,"25-39",30.1479999998119,"alive","airbag","belted",0,"f",52,1997,1995,"nodeploy","driver",0,1,"2:38:2"
"39",39,"10-24",199.315999999642,"alive","none","belted",1,"f",64,1997,1992,"unavail","driver",0,2,"2:39:1"
"41",41,"10-24",199.315999999642,"alive","none","belted",1,"m",36,1997,1988,"unavail","driver",0,2,"2:40:1"
"42",42,"10-24",199.315999999642,"alive","airbag","belted",0,"m",23,1997,1993,"nodeploy","driver",0,1,"2:40:2"
"44",44,"10-24",206.308999998495,"alive","airbag","belted",1,"m",32,1997,1995,"deploy","driver",1,0,"2:42:1"
"47",47,"10-24",440.461999997497,"alive","airbag","belted",0,"f",37,1997,1992,"nodeploy","driver",0,1,"2:43:1"
"49",49,"10-24",105.151999999769,"alive","none","belted",0,"f",24,1997,1977,"unavail","driver",0,1,"2:45:1"
"51",51,"10-24",324.452999997884,"alive","none","belted",1,"m",18,1997,1985,"unavail","driver",0,0,"2:47:1"
"54",54,"40-54",1343.96799999475,"alive","none","belted",1,"m",27,1997,1968,"unavail","driver",0,0,"2:52:2"
"55",55,"25-39",29.0359999998473,"alive","none","belted",1,"m",18,1997,1977,"unavail","driver",0,0,"2:53:2"
"57",57,"25-39",25.0689999999013,"alive","airbag","none",1,"m",74,1997,1993,"deploy","driver",1,3,"2:55:1"
"58",58,"1-9km/h",565.863999992609,"alive","airbag","none",0,"f",17,1997,1996,"nodeploy","driver",0,0,"2:58:1"
"60",60,"25-39",37.5279999999329,"alive","airbag","none",0,"f",20,1997,1996,"nodeploy","driver",0,3,"2:60:1"
"63",63,"10-24",2135.41699999571,"alive","airbag","belted",1,"m",32,1997,1995,"nodeploy","driver",0,0,"2:62:1"
"65",65,"25-39",82.9799999995157,"alive","none","belted",1,"m",40,1997,1985,"unavail","driver",0,0,"2:69:2"
"67",67,"10-24",568.998999997973,"alive","none","none",1,"m",76,1997,1989,"unavail","driver",0,5,"2:70:1"
"70",70,"10-24",211.896999999881,"alive","none","belted",0,"f",20,1997,1992,"unavail","driver",0,1,"2:72:2"
"71",71,"10-24",211.896999999881,"alive","none","belted",0,"f",43,1997,1992,"unavail","pass",0,1,"2:72:2"
"73",73,"10-24",653.819999992847,"alive","none","belted",1,"m",44,1997,1988,"unavail","driver",0,0,"2:74:1"
"74",74,"10-24",653.819999992847,"alive","none","belted",1,"f",62,1997,1988,"unavail","pass",0,0,"2:74:1"
"76",76,"25-39",37.5279999999329,"alive","airbag","belted",0,"f",17,1997,1997,"deploy","pass",1,3,"2:75:2"
"79",79,"25-39",82.9799999995157,"alive","none","none",1,"f",37,1997,1981,"unavail","driver",0,3,"2:76:2"
"81",81,"10-24",167.319999998435,"alive","none","belted",1,"f",44,1997,1988,"unavail","pass",0,1,"2:77:1"
"83",83,"55+",27.0779999999795,"dead","none","belted",1,"m",67,1997,1992,"unavail","driver",0,4,"2:79:1"
"86",86,"10-24",91.6939999992028,"alive","none","belted",0,"f",42,1997,1988,"unavail","driver",0,1,"2:83:1"
"87",87,"10-24",91.6939999992028,"alive","none","none",1,"f",21,1997,1989,"unavail","driver",0,1,"2:83:2"
"89",89,"10-24",39.3729999996722,"alive","airbag","belted",1,"f",17,1997,1996,"deploy","pass",1,1,"2:84:1"
"90",90,"10-24",39.3729999996722,"alive","none","belted",0,"f",81,1997,1991,"unavail","driver",0,1,"2:84:2"
"92",92,"55+",51.5559999998659,"alive","none","belted",0,"m",33,1997,1991,"unavail","driver",0,3,"2:88:1"
"95",95,"10-24",91.6939999992028,"alive","airbag","none",0,"f",42,1997,1993,"nodeploy","driver",0,1,"2:91:1"
"97",97,"10-24",227.935999998823,"alive","none","belted",0,"m",71,1997,1987,"unavail","driver",0,0,"2:94:1"
"99",99,"10-24",37.5279999999329,"alive","none","none",0,"f",20,1997,1989,"unavail","driver",0,1,"2:97:2"
"102",102,"55+",27.0779999999795,"alive","none","none",1,"m",20,1997,1981,"unavail","driver",0,3,"2:99:1"
"103",103,"55+",27.0779999999795,"alive","none","none",1,"f",19,1997,1981,"unavail","pass",0,3,"2:99:1"
"105",105,"55+",43.6609999998473,"alive","none","belted",0,"m",25,1997,1979,"unavail","driver",0,3,"2:101:1"
"106",106,"10-24",402.047999996692,"alive","none","belted",0,"m",21,1997,1982,"unavail","driver",0,1,"2:102:1"
"108",108,"10-24",402.047999996692,"alive","none","belted",1,"f",18,1997,1990,"unavail","driver",0,1,"2:102:2"
"111",111,"25-39",29.3679999997839,"alive","airbag","none",1,"m",26,1997,1992,"deploy","driver",1,3,"2:104:1"
"113",113,"10-24",126.668999999762,"alive","none","belted",0,"f",37,1997,1988,"unavail","driver",0,0,"2:105:1"
"115",115,"10-24",91.6939999992028,"alive","none","belted",0,"m",45,1997,1981,"unavail","driver",0,5,"2:108:1"
"118",118,"10-24",203.859999999404,"alive","none","belted",1,"f",17,1997,1989,"unavail","driver",0,0,"2:110:1"
"119",119,"10-24",203.859999999404,"alive","none","belted",1,"f",17,1997,1989,"unavail","pass",0,0,"2:110:1"
"121",121,"40-54",25.0689999999013,"alive","none","none",0,"f",77,1997,1989,"unavail","driver",0,3,"2:112:1"
"122",122,"55+",408.724999997765,"alive","airbag","none",1,"m",22,1997,1994,"deploy","driver",1,2,"2:114:1"
"124",124,"10-24",403.525999996811,"alive","airbag","belted",0,"m",42,1997,1991,"deploy","driver",1,2,"2:117:1"
"127",127,"40-54",37.5279999999329,"alive","airbag","belted",1,"f",43,1997,1997,"deploy","driver",1,3,"2:119:2"
"129",129,"25-39",25.0689999999013,"alive","none","none",1,"m",16,1997,1985,"unavail","pass",0,3,"2:120:1"
"131",131,"10-24",573.615999996662,"alive","none","belted",1,"f",61,1997,1993,"unavail","driver",0,1,"2:121:1"
"134",134,"25-39",100.212999999523,"alive","airbag","belted",0,"m",31,1997,1996,"nodeploy","driver",0,5,"2:123:1"
"135",135,"25-39",100.212999999523,"alive","airbag","none",0,"f",25,1997,1996,"nodeploy","pass",0,5,"2:123:1"
"137",137,"10-24",84.0599999995902,"alive","none","none",0,"f",46,1997,1987,"unavail","driver",0,1,"2:124:2"
"138",138,"10-24",82.9799999995157,"alive","airbag","belted",1,"f",30,1997,1993,"deploy","driver",1,3,"2:127:2"
"140",140,"10-24",328.91099999845,"alive","none","belted",0,"f",16,1997,1991,"unavail","pass",0,2,"2:128:1"
"143",143,"10-24",25.0689999999013,"alive","none","belted",0,"m",21,1997,1992,"unavail","driver",0,3,"2:130:1"
"145",145,"10-24",203.147999998182,"alive","none","none",1,"m",71,1997,1986,"unavail","driver",0,2,"2:132:1"
"147",147,"10-24",158.202999999747,"alive","airbag","belted",1,"m",71,1997,1994,"deploy","pass",1,1,"2:133:1"
"150",150,"10-24",108.014999999665,"alive","none","belted",1,"m",54,1997,1987,"unavail","driver",0,1,"2:138:1"
"151",151,"10-24",108.014999999665,"alive","none","belted",1,"f",61,1997,1987,"unavail","pass",0,1,"2:138:1"
"153",153,"10-24",128.236999999732,"alive","none","belted",1,"m",17,1997,1988,"unavail","driver",0,0,"2:146:2"
"154",154,"10-24",128.236999999732,"alive","none","belted",1,"f",17,1997,1988,"unavail","pass",0,1,"2:146:2"
"156",156,"10-24",44.3329999996349,"alive","airbag","belted",1,"f",66,1997,1997,"deploy","pass",1,1,"2:149:2"
"159",159,"25-39",94.6489999992773,"alive","none","belted",1,"m",46,1997,1984,"unavail","driver",0,1,"2:151:3"
"161",161,"10-24",305.89999999851,"alive","none","none",1,"m",24,1997,1986,"unavail","pass",0,3,"2:154:1"
"163",163,"40-54",25.4919999998529,"alive","none","none",0,"m",51,1997,1985,"unavail","driver",0,3,"2:156:1"
"166",166,"25-39",25.4919999998529,"alive","none","belted",1,"f",51,1997,1988,"unavail","pass",0,3,"2:156:2"
"167",167,"10-24",452.251999996603,"alive","airbag","belted",1,"f",21,1997,1992,"deploy","driver",1,2,"2:159:1"
"169",169,"10-24",2321.68799999356,"alive","airbag","belted",1,"f",21,1997,1996,"deploy","driver",1,2,"2:161:1"
"170",170,"10-24",2321.68799999356,"alive","none","belted",1,"m",26,1997,1996,"unavail","pass",0,0,"2:161:1"
"172",172,"1-9km/h",190.538999998942,"alive","none","none",0,"f",28,1997,1986,"unavail","driver",0,1,"3:14:1"
"175",175,"10-24",75.1079999990761,"alive","none","none",0,"m",43,1997,1995,"unavail","driver",0,1,"3:19:2"
"177",177,"10-24",55.1809999998659,"alive","none","belted",1,"m",59,1997,1981,"unavail","driver",0,0,"3:25:1"
"179",179,"10-24",157.868999999017,"alive","none","none",0,"f",53,1997,1984,"unavail","driver",0,1,"3:32:1"
"182",182,"25-39",10.4409999999916,"alive","airbag","belted",1,"f",36,1997,1996,"nodeploy","driver",0,1,"3:33:3"
"183",183,"25-39",744.743999995291,"alive","none","none",1,"m",39,1997,1984,"unavail","driver",0,2,"3:36:1"
"185",185,"25-39",22.8759999999311,"alive","none","belted",1,"m",28,1997,1988,"unavail","driver",0,1,"3:37:2"
"186",186,"10-24",199.727999998257,"alive","none","none",1,"m",23,1997,1983,"unavail","driver",0,1,"3:38:1"
"188",188,"10-24",72.0809999993071,"alive","none","none",1,"m",39,1997,1994,"unavail","driver",0,1,"3:41:1"
"191",191,"25-39",30.6939999999013,"alive","none","belted",1,"f",38,1997,1987,"unavail","driver",0,3,"3:47:1"
"193",193,"25-39",63.2589999996126,"alive","airbag","belted",1,"m",19,1997,1996,"deploy","driver",1,1,"3:49:1"
"195",195,"10-24",543.39999999851,"alive","none","none",1,"m",26,1997,1986,"unavail","driver",0,0,"3:52:1"
"198",198,"10-24",1107.53999999166,"alive","none","belted",0,"f",19,1997,1986,"unavail","driver",0,0,"3:64:1"
"199",199,"10-24",242.263999998569,"alive","none","none",1,"m",31,1997,1989,"unavail","driver",0,1,"3:70:1"
"201",201,"10-24",28.0689999999013,"alive","airbag","none",0,"m",78,1997,1993,"deploy","driver",1,1,"3:71:1"
"202",202,"10-24",10.234999999986,"alive","airbag","none",1,"m",28,1997,1994,"nodeploy","driver",0,3,"3:73:2"
"204",204,"10-24",67.1379999993369,"alive","airbag","belted",0,"f",70,1997,1995,"nodeploy","pass",0,2,"3:83:1"
